case_id,description,preconditions,test_data,steps,api_response,expected_result,compare,db_verification,status,notes
BE-11,Access auth-required endpoint without authentication,Notifications endpoint requires bearer authentication.,"{""token"":null,""endpoint"":""/api/notifications""}",GET /api/notifications without Authorization header.,"HTTP 401 {""success"":false,""error"":{""message"":""Authorization header is required""}}",401 Unauthorized.,MATCH: status=401,No database mutation expected.,PASS,Auth middleware rejects anonymous access.
BE-12,Delete comment by non-owner,Published article and owner comment exist; acting user is not the owner.,"{""commentId"":""ut_comment_owned"",""actingUser"":""author.peer@example.com""}",DELETE /api/comments/ut_comment_owned with author.peer@example.com bearer token.,"HTTP 403 {""success"":false,""error"":{""message"":""You can only delete your own comments""}}",403 Forbidden and comment remains undeleted.,"MATCH: status=403, deletedAt=null",deletedAt=null,PASS,Ownership protection is enforced.
BE-13,Create comment with empty content,Published article exists and acting user is authenticated.,"{""content"":""   ""}",POST /api/articles/ut_comment_empty_article/comments with whitespace-only content.,"HTTP 400 {""success"":false,""error"":{""message"":""Content is required""}}",400 validation error and no comment created.,"MATCH: status=400, commentCount=0",commentCount=0,PASS,Whitespace-only comments are rejected.
BE-14,Toggle reaction on article,Published article exists and acting user is authenticated.,"{""articleId"":""ut_reaction_article"",""type"":""LIKE""}",POST /api/reactions with articleId ut_reaction_article and type LIKE.,"HTTP 200 {""success"":true,""data"":{""articleId"":""ut_reaction_article"",""likeCount"":1,""loveCount"":0,""laughCount"":0,""userReaction"":""LIKE""}}",Reaction stored and response summary reflects the new LIKE count.,"MATCH: status=200, beforeReactionCount=0, afterReactionCount=1, storedReaction=LIKE, likeCount=1, userReaction=LIKE",beforeReactionCount=0; afterReactionCount=1; reactionType=LIKE,PASS,Reaction create/toggle flow works for initial LIKE with before/after DB persistence verified.
BE-15,Update draft article by non-owner author,Draft article belongs to author owner and acting author is not the owner.,"{""title"":""Illegal peer update""}",PATCH /api/articles/ut_non_owner_update_article with another author's bearer token.,"HTTP 403 {""success"":false,""error"":{""message"":""You can only manage your own articles""}}",403 Forbidden and article remains unchanged.,"MATCH: status=403, storedTitle=Owner-only draft",title=Owner-only draft,PASS,Ownership check blocks draft updates by other authors.
BE-16,Delete own draft article,Owned draft article exists with saved versions.,"{""articleId"":""ut_delete_draft_article""}",DELETE /api/articles/ut_delete_draft_article with owner bearer token.,"HTTP 200 {""success"":true,""data"":{""id"":""ut_delete_draft_article"",""title"":""Delete me""}}","200 OK, article deleted, and dependent versions removed.","MATCH: status=200, beforeArticleExists=true, afterArticleExists=false, beforeVersionCount=1, afterVersionCount=0",beforeArticleExists=true; afterArticleExists=false; beforeVersionCount=1; afterVersionCount=0,PASS,Delete removes article and cascades version records with the expected before/after DB delta.
BE-17,List draft articles returns only current author's drafts,Two authors each have at least one draft article.,"{""status"":""DRAFT"",""skip"":0,""limit"":50}",GET /api/articles?status=DRAFT&skip=0&limit=50 with owner bearer token.,"HTTP 200 {""success"":true,""data"":{""items"":[{""id"":""ut_owner_draft_only"",""title"":""Owner draft only"",""status"":""DRAFT"",""publishedAt"":null,""views"":0,""createdAt"":""2026-04-08T08:33:57.369Z"",""updatedAt"":""2026-04-08T08:33:57.369Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[]}],""pagination"":{""limit"":50,""skip"":0,""hasMore"":false,""nextSkip"":null}}}",200 OK and response contains only drafts authored by the requester.,"MATCH: status=200, itemIds=[""ut_owner_draft_only""]",ownerDraftId=ut_owner_draft_only; peerDraftId=ut_peer_draft_only,PASS,Draft list is correctly filtered by requesting author.
BE-18,Read another author's draft article detail,Draft article exists and acting author does not own it.,"{""articleId"":""ut_hidden_draft""}",GET /api/articles/ut_hidden_draft with non-owner author token.,"HTTP 403 {""success"":false,""error"":{""message"":""You do not have permission to access this article""}}",403 Forbidden.,MATCH: status=403,No database mutation expected.,PASS,Draft detail is protected from other authors.
BE-19,Get owned article versions,Owned draft article exists with multiple saved versions.,"{""articleId"":""ut_versions_article""}",GET /api/articles/ut_versions_article/versions with owner bearer token.,"HTTP 200 {""success"":true,""data"":[{""id"":""ut_versions_v2"",""articleId"":""ut_versions_article"",""contentSnapshot"":[""Current draft""],""updatedAt"":""2026-04-08T08:33:57.870Z"",""updatedBy"":{""id"":""ut_author_owner"",""name"":""Author Owner""}},{""id"":""ut_versions_v1"",""articleId"":""ut_versions_article"",""contentSnapshot"":[""Old draft""],""updatedAt"":""2026-04-08T08:33:57.868Z"",""updatedBy"":{""id"":""ut_author_owner"",""name"":""Author Owner""}}]}",200 OK and response contains all saved versions for the article.,"MATCH: status=200, versionIds=[""ut_versions_v2"",""ut_versions_v1""]",versionCount=2,PASS,Version history endpoint returns the owner's saved snapshots.
BE-20,Restore previous article version,"Owned draft article exists, target version exists, and target content differs from current content.","{""articleId"":""ut_restore_article"",""versionId"":""ut_restore_v1""}",POST /api/articles/ut_restore_article/restore with valid versionId.,"HTTP 200 {""success"":true,""data"":[{""id"":""ut_restore_v2"",""articleId"":""ut_restore_article"",""contentSnapshot"":[""Current content""],""updatedAt"":""2026-04-08T08:33:58.112Z"",""updatedBy"":{""id"":""ut_author_owner"",""name"":""Author Owner""}},{""id"":""ut_restore_v1"",""articleId"":""ut_restore_article"",""contentSnapshot"":[""Original content""],""updatedAt"":""2026-04-08T08:33:58.110Z"",""updatedBy"":{""id"":""ut_author_owner"",""name"":""Author Owner""}}]}",200 OK and article content restored to the selected version without duplicate snapshot creation.,"MATCH: status=200, beforeContent=[""Current content""], afterContent=[""Original content""], beforeVersionCount=2, afterVersionCount=2","beforeContent=[""Current content""]; afterContent=[""Original content""]; beforeVersionCount=2; afterVersionCount=2",PASS,Restore applies the selected snapshot with the expected before/after content delta and no extra version row.
BE-21,Restore article with missing version id,Owned draft article exists but the provided versionId does not belong to the article.,"{""articleId"":""ut_restore_article_missing"",""versionId"":""ut_missing_version""}",POST /api/articles/ut_restore_article_missing/restore with invalid versionId.,"HTTP 404 {""success"":false,""error"":{""message"":""Version not found""}}",404 Not Found and article content remains unchanged.,"MATCH: status=404, content=[""Unchanged current content""]","content=[""Unchanged current content""]",PASS,Invalid version restore does not modify the article.
BE-22,Mark own notification as read,Authenticated user has an unread notification.,"{""notificationId"":""ut_notification_read_owner""}",PATCH /api/notifications/ut_notification_read_owner/read with owner bearer token.,"HTTP 200 {""success"":true,""data"":{""id"":""ut_notification_read_owner"",""type"":""ARTICLE_COMMENT"",""entityId"":""ut_notification_entity_owner"",""isRead"":true,""createdAt"":""2026-04-08T08:33:58.640Z"",""message"":""Someone commented on your article.""}}",200 OK and notification isRead becomes true in database.,"MATCH: status=200, beforeIsRead=false, afterIsRead=true",beforeIsRead=false; afterIsRead=true,PASS,"Owner can mark notification as read, and the before/after DB state changed exactly once."
BE-23,Mark another user's notification as read,Unread notification exists for a different user.,"{""notificationId"":""ut_notification_read_other""}",PATCH /api/notifications/ut_notification_read_other/read with unauthorized bearer token.,"HTTP 404 {""success"":false,""error"":{""message"":""Notification not found""}}",404 Not Found and target notification remains unread.,"MATCH: status=404, isRead=false",isRead=false,PASS,Notification ownership is enforced on mark-as-read.
BE-24,Read article stats summary,"Published article exists with seeded views, comments, and helpfulness ratings.","{""articleId"":""ut_stats_article""}",GET /api/articles/ut_stats_article/stats.,"HTTP 200 {""success"":true,""data"":{""views"":4,""comments"":2,""helpful"":1,""notHelpful"":1}}","200 OK and response counts match database aggregates, excluding deleted comments.","MATCH: status=200, stats={""views"":4,""comments"":2,""helpful"":1,""notHelpful"":1}",views=4; comments=2; helpful=1; notHelpful=1,PASS,Stats endpoint reflects the expected aggregates.
BE-25,Create top-level comment and notify article author,Published article exists and acting user is not the article author.,"{""content"":""Great write-up on the release checklist.""}",POST /api/articles/ut_comment_create_article/comments with valid content.,"HTTP 201 {""success"":true,""data"":{""id"":""cmnpskehb0008k8uffyz76t2z"",""content"":""Great write-up on the release checklist."",""articleId"":""ut_comment_create_article"",""parentId"":null,""createdAt"":""2026-04-08T08:33:59.375Z"",""updatedAt"":""2026-04-08T08:33:59.375Z"",""deletedAt"":null,""author"":{""id"":""ut_author_peer"",""name"":""Author Peer""},""replies"":[]}}","201 Created, comment persisted, and article author receives one notification.","MATCH: status=201, beforeCommentCount=0, afterCommentCount=1, commentCreated=true, beforeNotificationCount=0, afterNotificationCount=1",beforeCommentCount=0; afterCommentCount=1; commentId=cmnpskehb0008k8uffyz76t2z; beforeNotificationCount=0; afterNotificationCount=1,PASS,Comment creation also triggered the article-author notification side effect with the expected before/after DB delta.
BE-26,Read article comments with one-level replies,Published article exists with one top-level comment and one reply.,"{""articleId"":""ut_comment_thread_article"",""skip"":0,""limit"":20}",GET /api/articles/ut_comment_thread_article/comments?skip=0&limit=20.,"HTTP 200 {""success"":true,""data"":{""items"":[{""id"":""ut_comment_thread_top"",""content"":""Parent comment"",""articleId"":""ut_comment_thread_article"",""parentId"":null,""createdAt"":""2026-04-08T08:33:59.564Z"",""updatedAt"":""2026-04-08T08:33:59.564Z"",""deletedAt"":null,""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""replies"":[{""id"":""ut_comment_thread_reply"",""content"":""Child reply"",""articleId"":""ut_comment_thread_article"",""parentId"":""ut_comment_thread_top"",""createdAt"":""2026-04-08T08:33:59.567Z"",""updatedAt"":""2026-04-08T08:33:59.567Z"",""deletedAt"":null,""author"":{""id"":""ut_author_peer"",""name"":""Author Peer""},""replies"":[]}]}],""pagination"":{""limit"":20,""skip"":0,""hasMore"":false,""nextSkip"":null}}}",200 OK and response nests the reply under its parent top-level comment.,"MATCH: status=200, items=[{""id"":""ut_comment_thread_top"",""content"":""Parent comment"",""articleId"":""ut_comment_thread_article"",""parentId"":null,""createdAt"":""2026-04-08T08:33:59.564Z"",""updatedAt"":""2026-04-08T08:33:59.564Z"",""deletedAt"":null,""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""replies"":[{""id"":""ut_comment_thread_reply"",""content"":""Child reply"",""articleId"":""ut_comment_thread_article"",""parentId"":""ut_comment_thread_top"",""createdAt"":""2026-04-08T08:33:59.567Z"",""updatedAt"":""2026-04-08T08:33:59.567Z"",""deletedAt"":null,""author"":{""id"":""ut_author_peer"",""name"":""Author Peer""},""replies"":[]}]}]",topLevelCount=1; replyCount=1,PASS,Comment list returns the expected one-level thread structure.
BE-27,Reply to deleted parent comment,Published article exists and parent comment is soft-deleted.,"{""content"":""Trying to reply"",""parentId"":""ut_deleted_parent_comment""}",POST /api/articles/ut_deleted_parent_article/comments with deleted parentId.,"HTTP 400 {""success"":false,""error"":{""message"":""You cannot reply to a deleted comment""}}",400 Bad Request and no reply comment persisted.,"MATCH: status=400, commentCount=1",commentCount=1,PASS,Deleted parent comments correctly block new replies.
BE-28,Toggle same reaction twice removes it,Published article exists and acting user is authenticated.,"{""articleId"":""ut_toggle_reaction_article"",""type"":""LIKE"",""requestCount"":2}",POST /api/reactions twice with articleId ut_toggle_reaction_article and type LIKE.,"first=HTTP 200 {""success"":true,""data"":{""articleId"":""ut_toggle_reaction_article"",""likeCount"":1,""loveCount"":0,""laughCount"":0,""userReaction"":""LIKE""}}; second=HTTP 200 {""success"":true,""data"":{""articleId"":""ut_toggle_reaction_article"",""likeCount"":0,""loveCount"":0,""laughCount"":0,""userReaction"":null}}",Second request removes the user's reaction and counts return to zero.,"MATCH: firstStatus=200, secondStatus=200, beforeReactionCount=0, afterFirstReactionCount=1, afterSecondReactionCount=0, storedReaction=null, likeCount=0, userReaction=null",beforeReactionCount=0; afterFirstReactionCount=1; afterSecondReactionCount=0; reactionExists=false,PASS,Same reaction is correctly toggled off on the second request with the expected intermediate and final DB states.
BE-29,Upsert helpfulness vote,Published article exists and acting user is authenticated.,"{""articleId"":""ut_helpfulness_article"",""firstValue"":""HELPFUL"",""secondValue"":""NOT_HELPFUL""}","POST /api/articles/ut_helpfulness_article/helpfulness twice, first HELPFUL then NOT_HELPFUL.","first=HTTP 200 {""success"":true,""data"":{""articleId"":""ut_helpfulness_article"",""helpfulCount"":1,""notHelpfulCount"":0,""userVote"":""HELPFUL""}}; second=HTTP 200 {""success"":true,""data"":{""articleId"":""ut_helpfulness_article"",""helpfulCount"":0,""notHelpfulCount"":1,""userVote"":""NOT_HELPFUL""}}",Only one rating row remains and final summary reflects NOT_HELPFUL for the acting user.,"MATCH: firstStatus=200, secondStatus=200, beforeRatingCount=0, afterFirstRatingCount=1, finalRatingValue=NOT_HELPFUL, finalRatingCount=1, summary={""articleId"":""ut_helpfulness_article"",""helpfulCount"":0,""notHelpfulCount"":1,""userVote"":""NOT_HELPFUL""}",beforeRatingCount=0; afterFirstRatingCount=1; finalRatingValue=NOT_HELPFUL; finalRatingCount=1,PASS,"Helpfulness votes are correctly upserted instead of duplicated, with stable row cardinality across both mutations."
BE-30,Reject invalid helpfulness value,Published article exists and acting user is authenticated.,"{""articleId"":""ut_invalid_helpfulness_article"",""value"":""MAYBE""}",POST /api/articles/ut_invalid_helpfulness_article/helpfulness with invalid value.,"HTTP 400 {""success"":false,""error"":{""message"":""Value must be HELPFUL or NOT_HELPFUL""}}",400 Bad Request and no helpfulness rating row persisted.,"MATCH: status=400, ratingCount=0",ratingCount=0,PASS,Invalid helpfulness values are rejected before persistence.
BE-31,Register a new author account,Email is not already registered.,"{""name"":""New Author"",""email"":""new.author@example.com"",""password"":""Passw0rd!""}",POST /api/auth/register with valid payload.,"HTTP 201 {""success"":true,""data"":{""user"":{""id"":""cmnpskfl3000dk8ufd10k92oe"",""name"":""New Author"",""email"":""new.author@example.com"",""role"":""AUTHOR"",""createdAt"":""2026-04-08T08:34:00.807Z"",""updatedAt"":""2026-04-08T08:34:00.807Z""},""accessToken"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJjbW5wc2tmbDMwMDBkazh1ZmQxMGs5Mm9lIiwiZW1haWwiOiJuZXcuYXV0aG9yQGV4YW1wbGUuY29tIiwicm9sZSI6IkFVVEhPUiIsImlhdCI6MTc3NTYzNzI0MCwiZXhwIjoxNzc2MjQyMDQwfQ.hV9lc9RB6DoYfvmu8JPqWEc8-NqWjF4UhzxFlhXnXSE""}}","201 Created, user returned with AUTHOR role, and user record persisted.","MATCH: status=201, userExists=true, role=AUTHOR",userExists=true; role=AUTHOR,PASS,Registration creates an AUTHOR account and returns auth data.
BE-32,Login with invalid password,User account exists.,"{""email"":""author.owner@example.com"",""password"":""WrongPass123""}",POST /api/auth/login with incorrect password.,"HTTP 401 {""success"":false,""error"":{""message"":""Invalid email or password""}}",401 Unauthorized and no new data persisted.,MATCH: status=401,No database mutation expected.,PASS,Invalid credentials are rejected cleanly.
BE-33,Get current authenticated user profile,Valid bearer token exists for an authenticated user.,"{""tokenOwner"":""author.owner@example.com""}",GET /api/auth/me with valid bearer token.,"HTTP 200 {""success"":true,""data"":{""user"":{""id"":""ut_author_owner"",""name"":""Author Owner"",""email"":""author.owner@example.com"",""role"":""AUTHOR"",""createdAt"":""2026-04-08T08:34:01.202Z"",""updatedAt"":""2026-04-08T08:34:01.202Z""}}}",200 OK and response contains the authenticated user's profile.,"MATCH: status=200, email=author.owner@example.com, id=ut_author_owner",expectedUserId=ut_author_owner,PASS,Current-user endpoint returns the bearer token owner.
